"","P0","P1","P2","P3"
"1",0.526491362747243,0.560313485627867,0.586956866615639,0.607414001671956
"2",0.729499461761236,0.754641247478178,0.750138794436553,0.763114988111806
"3",0.185395880758089,0.197898322373811,0.206059653749813,0.219522751999528
"4",0.661674734542309,0.690728458370362,0.688684212844507,0.700693832480152
"5",0.205424713442768,0.232566508593692,0.27377809005895,0.307894380037088
"6",0.486775787301914,0.53669695443498,0.569141657398661,0.591353673343233
"7",0.567888284773276,0.589600170002082,0.582610388012169,0.595355676009961
"8",0.77276384896029,0.787734425788612,0.778160259339449,0.784643467547704
"9",0.482851695696156,0.550963326737712,0.608751792356712,0.665029336274788
"10",0.36027259058096,0.405812699601953,0.448404310736611,0.48593413208249
"11",0.306484901269355,0.330582646394268,0.321732599165899,0.323213149327189
"12",0.366259306072579,0.431570497133498,0.492705910915266,0.542010614883599
"13",0.529382041803889,0.576750315882988,0.628347998102212,0.677652702070546
"14",0.485725140095501,0.526827568293568,0.560323386890632,0.594690191597887
"15",0.47470336029278,0.50271433465281,0.497730029962434,0.503278300709568
"16",0.263983616051054,0.272997887977806,0.292142940287264,0.310558770759875
"17",0.554182373087483,0.608298243643541,0.647778977600087,0.67399402114839
"18",0.206721729457081,0.22357336749048,0.242961107861544,0.25858026399099
"19",0.686362397378218,0.72878941851181,0.764474156124173,0.786216746359619
"20",0.487519966766949,0.540382731341021,0.595426764016419,0.64361529283473
"21",0.334298918204994,0.376643113460612,0.391361405373079,0.402947544074439
"22",0.164519147229579,0.174429022523433,0.1722609049463,0.183398352391978
"23",0.354727666850533,0.3780389772081,0.381566139011944,0.385689087570244
"24",0.561354080567884,0.592011572325037,0.582028543599229,0.590799148537666
"25",0.333998322386261,0.38235656579042,0.430082805131092,0.48219313151289
"26",0.476673619044634,0.474493327428233,0.489878189885278,0.505072949777961
"27",0.213703019057948,0.224384891531275,0.240079063226413,0.258926158786984
"28",0.15863471343671,0.161518766519814,0.177151374838005,0.192542439318225
"29",0.455032355492965,0.480789513157391,0.486816748326856,0.496995423970615
"30",0.524338007529258,0.550553868884478,0.54532941636011,0.551859329107951
"31",0.512908882808439,0.544681585199168,0.541359694898288,0.553369314533933
"32",0.289273369576422,0.303633393089782,0.32117368142142,0.33345322169376
"33",0.352372463999916,0.404109153939143,0.456166622728734,0.507455454686458
"34",0.527191435049638,0.555662937116882,0.596141269428452,0.646754513674309
"35",0.680791969212323,0.716484410179963,0.734476746652346,0.74551625864092
"36",0.572593949762161,0.617291436700612,0.656375710203284,0.678021927910582
"37",0.409618431500975,0.45135414302729,0.497713902008595,0.53346476751253
"38",0.421113457630891,0.432505411208519,0.439979945637935,0.453184230962414
"39",0.301164365032783,0.299306571295196,0.313160085171555,0.33127890569855
"40",0.440871671287987,0.46671272738678,0.504976674603162,0.548328576914452
"41",0.395209846702887,0.424991585860229,0.446012511803904,0.460849915140045
"42",0.319053893364429,0.333175944143278,0.328005937354215,0.332839625978866
"43",0.17634392926269,0.17210648029386,0.188498807570893,0.205408752739858
"44",0.570891036797376,0.618259310876475,0.658452712642778,0.697469436665568
"45",0.600252334582292,0.646928923389426,0.668923231082019,0.692002868995138
"46",0.339343996622848,0.349644817079571,0.35972851895284,0.374358126466152
"47",0.414732712721058,0.462243925493856,0.51888332038576,0.566303704838571
"48",0.474738155189504,0.515936030378609,0.550014083418621,0.578197049697689
"49",0.176878465755725,0.176273642520327,0.191862985992627,0.205017087159507
"50",0.524050845362346,0.552391849104214,0.545996572173836,0.556225681234437
"51",0.360538213382188,0.388141915472909,0.394699701783885,0.415639512782914
"52",0.355823840886184,0.3562666818078,0.366903208315161,0.380668492615034
"53",0.118613511228476,0.117832386474074,0.119533620429373,0.136045684837635
"54",0.672494639257437,0.708668888039138,0.73390748347771,0.758003818937804
"55",0.423280741892389,0.440370427217708,0.449106823668238,0.458346482639865
"56",0.195486242894564,0.202085225403989,0.201087932232866,0.212713254075434
"57",0.391131089593468,0.435981244311351,0.480905814027755,0.530616168656728
"58",0.155735771304815,0.156594288731802,0.172005825879256,0.188687679398994
"59",0.714259902923566,0.738775834100618,0.74855410303386,0.760335259344342
"60",0.487325505547607,0.510253401141759,0.515327285173088,0.526873797276426
